Территория;Тип;Субъект РФ;Частично;ОКТМО;Административный центр;Крупнейшая национальность, 2010 г.;Вторая национальность, 2010 г.;Площадь территории, км?;Численность населения, 2010 г., человек;Численность населения, 2021 г., человек;Изменение численности населения, 2010-2021 гг., %;Плотность населения, 2010 г.;Плотность населения, 2021 г.;Численность мужчин, 2010 г., человек;Численность мужчин, 2021 г., человек;Доля мужчин, 2010 г., %;Доля мужчин, 2021 г., %;Изменение доли мужчин, 2010-2021 гг., пп.;Численность женщин, 2010 г., человек;Численность женщин, 2021 г., человек;Доля женщин, 2010 г., %;Доля женщин, 2021 г., %;Изменение доли женщин, 2010-2021 гг., пп.;Численность городского населения, 2010 г., человек;Численность городского населения, 2021 г., человек;Численность сельского населения, 2010 г., человек;Численность сельского населения, 2021 г., человек;Степень урбанизации, 2010 г., %;Степень урбанизации, 2021 г., %;Изменение степени урбанизации, 2010-2021 гг., пп.;Ранг 1;Ранг 2;Ранг 3;Ранг 4;Ранг 5;Ранг 6;Ранг 7;Ранг 8;Ранг 9;Ранг 10;Ранг 11;Ранг 12;Ранг 13;Ранг 14;Ранг 15;Ранг 16;Ранг 17;Ранг 18;Ранг 19;Ранг 20;Ранг 21;Ранг 22;Ранг 23;;;
ГО Ноябрьск;городской округ;Ямало-Ненецкий АО;;71958000;г. Ноябрьск;русские;украинцы;189;110620;100188;-9,4;585,14;529,96;54520;47769;49,3;47,7;-1,6;56100;52419;50,7;52,3;1,6;110620;100188;0;0;100,0;100,0;0,0;67 из 75;5 из 75;6 из 75;25 из 75;5 из 75;5 из 75;5 из 75;6 из 75;28 из 75;49 из 75;65 из 75;5 из 75;6 из 75;48 из 75;27 из 75;11 из 75;5 из 75;6 из 75;66 из 75;66 из 75;1 из 75;1 из 75;35 из 75;;;
МР Красноселькупский;муниципальный район;Ямало-Ненецкий АО;;71913000;с. Красноселькуп;русские;селькупы;106759;6204;5789;-6,7;0,06;0,05;3091;2843;49,8;49,1;-0,7;3113;2946;50,2;50,9;0,7;0;0;6204;5789;0,0;0,0;0,0;19 из 75;59 из 75;57 из 75;21 из 75;62 из 75;63 из 75;58 из 75;57 из 75;24 из 75;23 из 75;50 из 75;59 из 75;58 из 75;52 из 75;53 из 75;26 из 75;62 из 75;59 из 75;22 из 75;18 из 75;62 из 75;59 из 75;35 из 75;;;
МО Надымский;муниципальный округ;Ямало-Ненецкий АО;;71916000;г. Надым;русские;украинцы;109943;66530;66938;0,6;0,61;0,61;32551;32865;48,9;49,1;0,2;33979;34073;51,1;50,9;-0,2;58440;58131;8090;8807;87,8;86,8;-1,0;16 из 75;9 из 75;8 из 75;11 из 75;39 из 75;37 из 75;9 из 75;7 из 75;35 из 75;24 из 75;13 из 75;8 из 75;8 из 75;41 из 75;52 из 75;63 из 75;10 из 75;8 из 75;14 из 75;12 из 75;28 из 75;29 из 75;66 из 75;;;
МО Приуральский;муниципальный округ;Ямало-Ненецкий АО;;71918000;с. Аксарка;русские;ненцы;64622;14995;9860;-34,2;0,23;0,15;8291;4837;55,3;49,1;-6,2;6704;5023;44,7;50,9;6,2;6413;0;8582;9860;42,8;0,0;-42,8;26 из 75;41 из 75;45 из 75;74 из 75;46 из 75;49 из 75;38 из 75;43 из 75;2 из 75;25 из 75;75 из 75;43 из 75;45 из 75;74 из 75;51 из 75;1 из 75;42 из 75;59 из 75;13 из 75;9 из 75;58 из 75;59 из 75;74 из 75;;;
МО Пуровский;муниципальный округ;Ямало-Ненецкий АО;;71920000;г. Тарко-Сале;русские;украинцы;108797;51280;36569;-28,7;0,47;0,34;26290;17659;51,3;48,3;-3,0;24990;18910;48,7;51,7;3,0;30464;25745;20816;10824;59,4;70,4;11,0;17 из 75;11 из 75;15 из 75;65 из 75;41 из 75;41 из 75;11 из 75;15 из 75;13 из 75;39 из 75;73 из 75;13 из 75;15 из 75;63 из 75;37 из 75;3 из 75;22 из 75;24 из 75;3 из 75;5 из 75;47 из 75;42 из 75;1 из 75;;;
МО Тазовский;муниципальный округ;Ямало-Ненецкий АО;;71923000;пос. Тазовский;русские;селькупы;174344;16537;17723;7,2;0,09;0,10;8115;8673;49,1;48,9;-0,1;8422;9050;50,9;51,1;0,1;6793;0;9744;17723;41,1;0,0;-41,1;8 из 75;39 из 75;34 из 75;6 из 75;53 из 75;53 из 75;40 из 75;34 из 75;32 из 75;26 из 75;27 из 75;39 из 75;34 из 75;44 из 75;50 из 75;49 из 75;41 из 75;59 из 75;12 из 75;3 из 75;59 из 75;59 из 75;73 из 75;;;
МР Шурышкарский;муниципальный район;Ямало-Ненецкий АО;;71926000;с. Мужи;ханты;русские;54741;9814;9084;-7,4;0,18;0,17;4855;4483;49,5;49,4;-0,1;4959;4601;50,5;50,6;0,1;0;0;9814;9084;0,0;0,0;0,0;28 из 75;49 из 75;46 из 75;23 из 75;48 из 75;47 из 75;49 из 75;46 из 75;25 из 75;20 из 75;25 из 75;49 из 75;46 из 75;51 из 75;56 из 75;51 из 75;62 из 75;59 из 75;11 из 75;11 из 75;62 из 75;59 из 75;35 из 75;;;
МО Ямальский;муниципальный округ;Ямало-Ненецкий АО;;71928000;с. Яр-Сале;ненцы;русские;148727;16310;16067;-1,5;0,11;0,11;7992;7815;49,0;48,6;-0,4;8318;8252;51,0;51,4;0,4;0;0;16310;16067;0,0;0,0;0,0;10 из 75;40 из 75;36 из 75;15 из 75;52 из 75;51 из 75;41 из 75;36 из 75;33 из 75;32 из 75;39 из 75;40 из 75;37 из 75;43 из 75;44 из 75;37 из 75;62 из 75;59 из 75;4 из 75;4 из 75;62 из 75;59 из 75;35 из 75;;;
Чукотский АО;субъект РФ;;;77000000;г. Анадырь;русские;чукчи;723489;50526;47490;-6,0;0,07;0,07;25318;23608;50,1;49,7;-0,4;25208;23882;49,9;50,3;0,4;32734;32389;17792;15101;64,8;68,2;3,4;4 из 9;8 из 9;8 из 9;4 из 9;8 из 9;8 из 9;8 из 9;8 из 9;1 из 9;1 из 9;5 из 9;8 из 9;8 из 9;9 из 9;9 из 9;5 из 9;7 из 9;7 из 9;8 из 9;8 из 9;8 из 9;8 из 9;2 из 9;;;
ГО Анадырь;городской округ;Чукотский АО;;77701000;г. Анадырь;русские;чукчи;60;13517;13598;0,6;224,01;225,36;6515;6646;48,2;48,9;0,7;7002;6952;51,8;51,1;-0,7;13045;13202;472;396;96,5;97,1;0,6;73 из 75;43 из 75;38 из 75;12 из 75;10 из 75;10 из 75;43 из 75;38 из 75;46 из 75;28 из 75;7 из 75;42 из 75;40 из 75;30 из 75;48 из 75;69 из 75;34 из 75;33 из 75;61 из 75;60 из 75;18 из 75;19 из 75;24 из 75;;;
