SRC,DST,FRAME,migranty,sname,dname
1705000,11701000,100,3,Бийск,Архангельск
1705000,11730000,100,2,Бийск,Северодвинск
1705000,47615000,100,1,Бийск,Печенгский район
1705000,47701000,100,5,Бийск,Мурманск
1705000,47705000,100,1,Бийск,Апатиты
1705000,47733000,100,1,Бийск,Заозерск
1705000,47735000,100,1,Бийск,Видяево
1705000,47737000,100,2,Бийск,Александровск
1705000,71913000,100,1,Бийск,Красноселькупский район
1705000,71916000,100,3,Бийск,Надымский район
1705000,71920000,100,3,Бийск,Пуровский район
1705000,71952000,100,1,Бийск,Губкинский
1705000,71955000,100,1,Бийск,Муравленко
1705000,71956000,100,14,Бийск,Новый Уренгой
1705000,71958000,100,4,Бийск,Ноябрьск
1705000,77609000,100,1,Бийск,Билибинский район
1705000,77630000,100,1,Бийск,Чаунский район
1705000,77701000,100,1,Бийск,Анадырь
1705000,86604000,100,1,Бийск,Беломорский район
1705000,87710000,100,1,Бийск,Воркута
1706000,4653000,100,2,Заринск,Диксонский район
1706000,4729000,100,2,Заринск,Норильск
1706000,11701000,100,3,Заринск,Архангельск
1706000,11730000,100,1,Заринск,Северодвинск
1706000,47701000,100,1,Заринск,Мурманск
1706000,71913000,100,1,Заринск,Красноселькупский район
1706000,71951000,100,1,Заринск,Салехард
1706000,71953000,100,1,Заринск,Лабытнанги
1706000,71956000,100,2,Заринск,Новый Уренгой
1706000,77609000,100,1,Заринск,Билибинский район
1706000,87710000,100,1,Заринск,Воркута
1710000,4653000,100,1,Камень-на-Оби,Диксонский район
1710000,4729000,100,6,Камень-на-Оби,Норильск
1710000,11701000,100,1,Камень-на-Оби,Архангельск
1710000,47701000,100,1,Камень-на-Оби,Мурманск
1710000,47730000,100,1,Камень-на-Оби,Североморск
1710000,71916000,100,1,Камень-на-Оби,Надымский район
1710000,71951000,100,3,Камень-на-Оби,Салехард
1710000,71953000,100,1,Камень-на-Оби,Лабытнанги
1710000,71956000,100,6,Камень-на-Оби,Новый Уренгой
1710000,71958000,100,3,Камень-на-Оби,Ноябрьск
1710000,77701000,100,1,Камень-на-Оби,Анадырь
1710000,86706000,100,1,Камень-на-Оби,Костомукша
1710000,87710000,100,2,Камень-на-Оби,Воркута
1710000,87715000,100,1,Камень-на-Оби,Инта
1713000,4729000,100,2,Новоалтайск,Норильск
1713000,71920000,100,1,Новоалтайск,Пуровский район
