Название;Год;МО;Регион;Тип;Широта;Долгота;Численность населения
г. Мурманск;1959;ГО Мурманск;Мурманская область;город;68.97917;33.09251;221874.0
г. Мурманск;1970;ГО Мурманск;Мурманская область;город;68.97917;33.09251;308642.0
г. Мурманск;1979;ГО Мурманск;Мурманская область;город;68.97917;33.09251;380817.0
г. Мурманск;1989;ГО Мурманск;Мурманская область;город;68.97917;33.09251;472274.0
г. Мурманск;2002;ГО Мурманск;Мурманская область;город;68.97917;33.09251;336137.0
г. Мурманск;2010;ГО Мурманск;Мурманская область;город;68.97917;33.09251;307257.0
г. Мурманск;2021;ГО Мурманск;Мурманская область;город;68.97917;33.09251;270384.0
г. Надым;1979;МО Надымский;Ямало-Ненецкий АО;город;65.53333;72.51667;26058.0
г. Надым;1989;МО Надымский;Ямало-Ненецкий АО;город;65.53333;72.51667;53659.0
г. Надым;2002;МО Надымский;Ямало-Ненецкий АО;город;65.53333;72.51667;45943.0
г. Надым;2010;МО Надымский;Ямало-Ненецкий АО;город;65.53333;72.51667;46611.0
г. Надым;2021;МО Надымский;Ямало-Ненецкий АО;город;65.53333;72.51667;45973.0
г. Нарьян-Мар;1939;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;13670.0
г. Нарьян-Мар;1959;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;13222.0
г. Нарьян-Мар;1970;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;16864.0
г. Нарьян-Мар;1979;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;23435.0
г. Нарьян-Мар;1989;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;20012.0
г. Нарьян-Мар;2002;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;18611.0
г. Нарьян-Мар;2010;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;21658.0
г. Нарьян-Мар;2021;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;23399.0
г. Новодвинск;1979;ГО Новодвинск;Архангельская область (без НАО);город;64.4165;40.8122;47764.0
г. Новодвинск;1989;ГО Новодвинск;Архангельская область (без НАО);город;64.4165;40.8122;49787.0
г. Новодвинск;2002;ГО Новодвинск;Архангельская область (без НАО);город;64.4165;40.8122;43383.0
г. Новодвинск;2010;ГО Новодвинск;Архангельская область (без НАО);город;64.4165;40.8122;40615.0
г. Новодвинск;2021;ГО Новодвинск;Архангельская область (без НАО);город;64.4165;40.8122;33294.0
г. Новый Уренгой;1989;ГО Новый Уренгой;Ямало-Ненецкий АО;город;66.08333;76.63333;95254.0
г. Новый Уренгой;2002;ГО Новый Уренгой;Ямало-Ненецкий АО;город;66.08333;76.63333;94456.0
г. Новый Уренгой;2010;ГО Новый Уренгой;Ямало-Ненецкий АО;город;66.08333;76.63333;104107.0
г. Новый Уренгой;2021;ГО Новый Уренгой;Ямало-Ненецкий АО;город;66.08333;76.63333;107251.0
г. Норильск;1959;ГО Норильск;Красноярский край;город;69.3535;88.2027;109442.0
