Города и пгт;1939 г.;1959 г.;1970 г.;1979 г.;1989 г.;2002 г.;2010 г.;2021 г.;МО;Регион;Тип;Широта;Долгота
пгт Молодежный;;5980;;;;;;;МО Апатиты;Мурманская область;пгт;67.5831;33.4169
пгт Анадырь;3344;5859;;;;;;;ГО Анадырь;Чукотский АО;пгт;64.73424;177.5103
пгт Певек;;5752;;;;;;;ГО Певек;Чукотский АО;пгт;69.70287;170.29993
пгт Ковдор;;5358;;;;;;;МО Ковдорский;Мурманская область;пгт;67.56616;30.47576
пгт Медвежий;;4962;;;;;;;МР Таймырский Долгано-Ненецкий;Красноярский край;пгт;70.53333;91.1
пгт Угольный;;3942;;;;;;;ГО Норильск;Красноярский край;пгт;69.3535;88.2027
пгт Заполярный;;3791;;;;;;;МР Печенгский;Мурманская область;пгт;69.41541;30.81355
пгт Хановей;;3134;;;;;;;ГО Воркута;Республика Коми;пгт;67.3;63.61667
пгт Горный;;2398;;;;;;;МР Печенгский;Мурманская область;пгт;69.4155;30.7826
пгт Хетоламбина;;1901;;;;;;;МР Лоухский;Республика Карелия;пгт;66.35778;33.27917
пгт Порт Владимир;1062;1718;;;;;;;МР Кольский;Мурманская область;пгт;69.4152;33.11478
пгт Янский;;1117;;;;;;;МР Усть-Янский;Республика Саха (Якутия);пгт;68.45237;134.8107
пгт Кереть;;1085;;;;;;;МР Лоухский;Республика Карелия;пгт;66.19632;32.89973
пгт Нордвик;;404;;;;;;;МР Таймырский Долгано-Ненецкий;Красноярский край;пгт;74.03333;111.53333
пгт Норильск;13886;;;;;;;;ГО Норильск;Красноярский край;пгт;69.3535;88.2027
пгт Кукисвумчорр;8950;;;;;;;;МО Кировск;Мурманская область;пгт;67.66384;33.72215
пгт Сегежа;4845;;;;;;;;МР Сегежский;Республика Карелия;пгт;63.74147;34.32218
пгт Сумское;2055;;;;;;;;МР Сегежский;Республика Карелия;пгт;64.0374;34.1117
