Населенный пункт;id;region;municipality;settlement;type;Население, человек;children;latitude_dms;longitude_dms;lat;lon;oktmo;dadata;rosstat;typ
д. Заозерье (МР Приморский);46240;Архангельская область;Приморский муниципальный район;Заозерье (МР Приморский);д;11;1;64.22.09;040.52.37;64.36916667;40.87694444;11652436126;0;1;деревня
пос. Мунгуй;100031;Красноярский край;Таймырский Долгано-Ненецкий район;Мунгуй;п;11;2;70.25.59;083.45.58;70.43305556;83.76611111;4653417126;0;1;поселок
пос. Новый Путь;114130;Архангельская область;Пинежский муниципальный район;Новый Путь;п;11;1;63.47.45;045.09.28;63.79583333;45.15777778;11648404121;0;1;поселок
д. Устье;91893;Ненецкий автономный округ;Заполярный район;Устье;д;11;0;67.34.03;052.35.29;67.5675;52.59138889;11811466111;0;1;деревня
д. Чучепала;38485;Архангельская область;Лешуконский муниципальный район;Чучепала;д;11;2;64.49.47;047.26.52;64.82972222;47.44777778;11638406131;0;1;деревня
д. Елкино;29439;Архангельская область;Мезенский муниципальный район;Елкино;д;10;1;65.41.20;047.33.12;65.68888889;47.55333333;11642404104;0;1;деревня
д. Заручей (МР Приморский 2);8682;Архангельская область;Приморский муниципальный район;Заручей (МР Приморский 2);д;10;1;64.33.35;040.22.59;64.55972222;40.38305556;11652436131;0;1;деревня
пос. Зеленый Бор;44768;Архангельская область;Северодвинск;Зеленый Бор;п;10;0;64.32.24;039.38.41;64.54;39.64472222;11730000111;0;1;поселок
д. Коровкинская;98901;Архангельская область;Приморский муниципальный район;Коровкинская;д;10;1;64.38.36;041.01.20;64.64333333;41.02222222;11652460121;0;1;деревня
д. Кукушка;14595;Архангельская область;Приморский муниципальный район;Кукушка;д;10;2;64.27.03;040.35.49;64.45083333;40.59694444;11652436151;0;1;деревня
д. Кушерека;112878;Архангельская область;Онежский муниципальный район;Кушерека;д;10;0;63.48.23;037.10.03;63.80638889;37.1675;11646162111;0;1;деревня
д. Лапоминка;103082;Архангельская область;Приморский муниципальный район;Лапоминка;д;10;0;64.47.04;040.27.23;64.78444444;40.45638889;11652460126;0;1;деревня
пос. Лосево;69613;Архангельская область;Пинежский муниципальный район;Лосево;п;10;2;63.48.23;044.55.10;63.80638889;44.91944444;11648404116;0;1;поселок
с. Склад;53406;Республика Саха (Якутия);Булунский;Склад;с;10;0;71.54.33;123.34.21;71.90916667;123.5725;98612445106;0;1;село
д. Соколово;87100;Архангельская область;Мезенский муниципальный район;Соколово;д;10;1;65.17.13;043.58.12;65.28694444;43.97;11642444116;0;1;деревня
пос. Холм;33095;Архангельская область;Пинежский муниципальный район;Холм (МР Пинежский 3);п;10;2;64.42.32;043.31.34;64.70888889;43.52611111;11648427201;0;1;поселок
д. Чужгоры;3434;Архангельская область;Приморский муниципальный район;Чужгоры;д;10;0;64.29.34;040.14.13;64.49277778;40.23694444;11652452126;1;0;деревня
д. Боры;51831;Архангельская область;Приморский муниципальный район;Боры (деревня);д;9;1;64.29.59;040.21.30;64.49972222;40.35833333;11652408121;0;1;деревня
пос. Кайралы;18150;Мурманская область;Кандалакшский муниципальный район;Кайралы;нп;9;0;66.55.25;029.35.10;66.92361111;29.58611111;47608403;1;0;поселок
ст. Ковда;69955;Мурманская область;Кандалакшский муниципальный район;Ковда (станция);ж/д_ст;9;0;66.42.35;032.38.29;66.70972222;32.64138889;47608158111;0;1;станция
д. Курган;92667;Архангельская область;Приморский муниципальный район;Курган;д;9;1;64.32.22;040.26.06;64.53944444;40.435;11652446216;0;1;деревня
д. Матюй-Сале;87732;Ямало-Ненецкий автономный округ;Тазовский муниципальный район;Матюй-Сале;д;9;4;71.00.06;076.23.31;71.00166667;76.39194444;71923701912;0;1;деревня
д. Нестерово;1098;Архангельская область;Приморский муниципальный район;Нестерово;д;9;1;64.27.35;040.37.41;64.45972222;40.62805556;11652436181;0;1;деревня
д. Средние Валдушки;81021;Архангельская область;Приморский муниципальный район;Средние Валдушки;д;9;1;64.27.34;040.32.03;64.45944444;40.53416667;11652408211;0;1;деревня
д. Средняя Гора;103013;Архангельская область;Приморский муниципальный район;Средняя Гора;д;9;1;64.26.11;040.44.26;64.43638889;40.74055556;11652436221;1;0;деревня
д. Ширша;1873;Архангельская область;Приморский муниципальный район;Ширша;д;9;0;64.26.43;040.44.30;64.44527778;40.74166667;11652436241;0;1;деревня
д. Юрола;29981;Архангельская область;Пинежский муниципальный район;Юрола;д;9;0;64.33.45;043.19.07;64.5625;43.31861111;11648427221;0;1;деревня
д. Андозеро;13407;Архангельская область;Онежский муниципальный район;Андозеро;д;8;0;63.55.36;038.18.08;63.92666667;38.30222222;11646436111;0;1;деревня
д. Архипово;65135;Архангельская область;Приморский муниципальный район;Архипово;д;8;0;64.37.51;040.55.52;64.63083333;40.93111111;11652460106;0;1;деревня
д. Бутырская;123382;Архангельская область;Приморский муниципальный район;Бутырская;д;8;2;64.20.05;041.29.30;64.33472222;41.49166667;11652406131;0;1;деревня
д. Гора;140584;Архангельская область;Пинежский муниципальный район;Гора;д;8;1;63.32.02;045.36.26;63.53388889;45.60722222;11648440106;1;0;деревня
д. Залахотье;7611;Архангельская область;Приморский муниципальный район;Залахотье;д;8;0;64.36.38;040.26.09;64.61055556;40.43583333;11652446176;0;1;деревня
с. Имандра;124501;Мурманская область;Городской округ город Оленегорск с подведомственной территорией;Имандра;с;8;0;67.50.59;033.15.35;67.84972222;33.25972222;47717000106;1;0;село
д. Лахта (ГО Северодвинск);53543;Архангельская область;Северодвинск;Лахта (ГО Северодвинск);д;8;0;64.26.34;039.45.43;64.44277778;39.76194444;11730000141;0;1;деревня
пос. Лососий;116739;Республика Карелия;Сегежский;Лососий;п;8;0;63.51.37;034.08.36;63.86027778;34.14333333;86645420116;0;1;поселок
д. Малое Бурдуково;152921;Архангельская область;Приморский муниципальный район;Малое Бурдуково;д;8;1;64.30.13;040.30.16;64.50361111;40.50444444;11652408176;0;1;деревня
д. Медведевская;149094;Архангельская область;Онежский муниципальный район;Медведевская;д;8;1;63.49.07;038.18.23;63.81861111;38.30638889;11646436146;0;1;деревня
д. Новое Лукино;18958;Архангельская область;Приморский муниципальный район;Новое Лукино;д;8;1;64.27.17;040.35.57;64.45472222;40.59916667;11652436191;0;1;деревня
д. Пачепельда;21155;Архангельская область;Онежский муниципальный район;Пачепельда;д;8;0;63.28.01;039.02.20;63.46694444;39.03888889;11646444236;0;1;деревня
д. Черная Река;17110;Республика Карелия;Лоухский;Черная Река;д;8;0;66.31.08;032.57.20;66.51888889;32.95555556;86621430126;0;1;деревня
ст. 243 км;43502;Архангельская область;Онежский муниципальный район;243 км;ж/д_рзд;7;0;63.50.24;038.28.20;63.84;38.47222222;11646436196;1;0;станция
д. Коккосалма;97104;Республика Карелия;Лоухский;Коккосалма;д;7;0;65.49.27;031.31.38;65.82416667;31.52722222;86621425131;0;1;деревня
ст. Колежма;122753;Республика Карелия;Беломорский;Колежма;ст;7;0;64.07.06;035.43.38;64.11833333;35.72722222;86604433126;0;1;станция
д. Кондратьевская;104846;Архангельская область;Приморский муниципальный район;Кондратьевская;д;7;0;64.37.48;040.56.43;64.63;40.94527778;11652460116;0;1;деревня
пос. Кяргозеро;5981;Республика Карелия;Сегежский;Кяргозеро;п;7;0;63.19.54;034.17.17;63.33166667;34.28805556;86645444106;1;0;поселок
д. Малая Фехтальма;138988;Архангельская область;Онежский муниципальный район;Малая Фехтальма;д;7;1;63.10.42;039.12.25;63.17833333;39.20694444;11646444201;0;1;деревня
пос. Палозеро;11166;Архангельская область;Северодвинск;Палозеро;п;7;0;64.08.33;039.43.09;64.1425;39.71916667;11730000116;0;1;поселок
с. Пулозеро;116153;Мурманская область;Кольский муниципальный район;Пулозеро;с;7;0;68.24.30;033.19.13;68.40833333;33.32027778;47605404106;0;1;село
д. Пылема;34651;Архангельская область;Лешуконский муниципальный район;Пылема;д;7;2;64.58.51;045.58.47;64.98083333;45.97972222;11638408136;0;1;деревня
д. Ригач;30787;Архангельская область;Приморский муниципальный район;Ригач;д;7;1;64.26.36;040.43.32;64.44333333;40.72555556;11652436201;0;1;деревня
д. Русома;44921;Архангельская область;Лешуконский муниципальный район;Русома;д;7;1;64.43.56;045.52.22;64.73222222;45.87277778;11638408141;0;1;деревня
ст. Сумеричи;61043;Республика Карелия;Сегежский;Сумеричи;ст;7;0;63.20.45;034.19.39;63.34583333;34.3275;86645444136;0;1;станция
д. Хвосты;19172;Архангельская область;Приморский муниципальный район;Хвосты;д;7;0;64.36.27;040.25.41;64.6075;40.42805556;11652446321;0;1;деревня
д. Холм (МР Пинежский 1);73161;Архангельская область;Пинежский муниципальный район;Холм (МР Пинежский 1);д;7;1;64.42.39;043.31.59;64.71083333;43.53305556;11648427201;0;1;деревня
д. Березник (МР Пинежский);40849;Архангельская область;Пинежский муниципальный район;Березник (МР Пинежский);д;6;1;64.06.59;044.09.12;64.11638889;44.15333333;11648427106;0;1;деревня
д. Большое Шарково;42737;Архангельская область;Онежский муниципальный район;Большое Шарково;д;6;1;63.03.27;039.18.07;63.0575;39.30194444;11646444116;0;1;деревня
пос. Западный Кильдин;99705;Мурманская область;Кольский муниципальный район;Западный Кильдин;нп;6;0;69.20.17;034.00.36;69.33805556;34.01;47605405111;1;0;поселок
д. Заручей (МР Лешуконский);18068;Архангельская область;Лешуконский муниципальный район;Заручей (МР Лешуконский);д;6;0;65.02.26;045.40.26;65.04055556;45.67388889;11638428116;0;1;деревня
д. Захарово (МР Приморский 2);103344;Архангельская область;Приморский муниципальный район;Захарово (МР Приморский 2);д;6;1;64.26.12;040.44.53;64.43666667;40.74805556;11652436136;0;1;деревня
д. Защелье;70245;Архангельская область;Лешуконский муниципальный район;Защелье;д;6;0;65.09.26;045.33.11;65.15722222;45.55305556;11638428121;0;1;деревня
д. Инцы;51803;Архангельская область;Мезенский муниципальный район;Инцы;д;6;0;65.57.35;040.42.08;65.95972222;40.70222222;11642440106;0;1;деревня
д. Колмогора;122608;Архангельская область;Лешуконский муниципальный район;Колмогора;д;6;0;64.57.40;046.16.21;64.96111111;46.2725;11638424111;1;0;деревня
д. Красное (МР Приморский);56732;Архангельская область;Приморский муниципальный район;Красное (МР Приморский);д;6;0;64.38.35;040.18.26;64.64305556;40.30722222;11652446211;0;1;деревня
пос. Майгуба;79119;Республика Карелия;Сегежский;Майгуба;п;6;0;63.48.58;034.15.07;63.81611111;34.25194444;86645420106;0;1;поселок
д. Малая Корзиха;40953;Архангельская область;Приморский муниципальный район;Малая Корзиха;д;6;1;64.28.37;040.35.23;64.47694444;40.58972222;11652436166;0;1;деревня
д. Петрова (МР Мезенский);151913;Архангельская область;Мезенский муниципальный район;Петрова (МР Мезенский);д;6;0;65.33.12;044.41.51;65.55333333;44.6975;11642420111;0;1;деревня
д. Подрадье;130839;Архангельская область;Пинежский муниципальный район;Подрадье;д;6;0;64.29.15;044.09.45;64.4875;44.1625;11648427193;0;1;деревня
с. Сентачан;149766;Республика Саха (Якутия);Верхоянский;Сентачан;с;6;0;66.27.46;136.56.05;66.46277778;136.9347222;98616151106;0;1;село
с. Уродан;5921;Республика Саха (Якутия);Среднеколымский;Уродан;с;6;0;66.39.18;152.29.59;66.655;152.4997222;98646415106;0;1;село
д. Усть-Пеза;107253;Архангельская область;Мезенский муниципальный район;Усть-Пеза;д;6;1;65.38.32;044.40.09;65.64222222;44.66916667;11642420121;0;1;деревня
д. Холм (МР Приморский);96851;Архангельская область;Приморский муниципальный район;Холм (МР Приморский);д;6;1;64.22.42;040.38.54;64.37833333;40.64833333;11652420111;0;1;деревня
д. Чикинская;82205;Архангельская область;Пинежский муниципальный район;Чикинская;д;6;0;64.29.26;044.07.43;64.49055556;44.12861111;11648427208;0;1;деревня
с. Чолбон;143295;Республика Саха (Якутия);Верхоянский;Чолбон;с;6;0;67.45.01;134.41.51;67.75027778;134.6975;98616488106;0;1;село
д. Шилява;118833;Архангельская область;Лешуконский муниципальный район;Шилява;д;6;1;65.04.02;045.41.13;65.06722222;45.68694444;11638428151;0;1;деревня
д. Шихириха;126916;Архангельская область;Приморский муниципальный район;Шихириха;д;6;0;64.33.24;040.06.34;64.55666667;40.10944444;11652452131;0;1;деревня
с. Энгя-Сайылыга;44294;Республика Саха (Якутия);Верхоянский;Энгя-Сайылыга;с;6;0;67.45.18;135.38.49;67.755;135.6469444;98616404111;0;1;село
д. Вальтево;31832;Архангельская область;Пинежский муниципальный район;Вальтево;д;5;1;64.29.19;044.12.01;64.48861111;44.20027778;11648427113;0;1;деревня
д. Карандашевская;46244;Архангельская область;Приморский муниципальный район;Карандашевская;д;5;1;64.19.43;041.27.37;64.32861111;41.46027778;11652406166;0;1;деревня
ст. Кереть;43215;Республика Карелия;Лоухский;Кереть;ст;5;0;66.11.55;032.53.59;66.19861111;32.89972222;86621430151;0;1;станция
д. Красная Гора;21069;Архангельская область;Приморский муниципальный район;Красная Гора;д;5;1;64.45.35;038.36.29;64.75972222;38.60805556;11652448106;1;0;деревня
д. Малая Тойнокурья;50987;Архангельская область;Приморский муниципальный район;Малая Тойнокурья;д;5;0;64.30.50;040.23.08;64.51388889;40.38555556;11652408161;0;1;деревня
д. Мыза;99250;Республика Коми;МР Усть-Цилемский;Мыза;д;5;0;65.40.09;052.08.47;65.66916667;52.14638889;87652438106;0;1;деревня
ст. Мягрека;50550;Республика Карелия;Кемский;Мягрека;ст;5;0;64.51.42;034.40.19;64.86166667;34.67194444;86612460106;0;1;станция
ст. Нямозеро;41447;Мурманская область;Кандалакшский муниципальный район;Нямозеро;ж/д_ст;5;0;66.57.47;031.27.25;66.96305556;31.45694444;47608407;1;0;станция
д. Печище;100017;Архангельская область;Мезенский муниципальный район;Печище;д;5;0;65.29.38;044.51.09;65.49388889;44.8525;11642424116;0;1;деревня
пос. При 10 Шлюзе ББК;74682;Республика Карелия;Сегежский;При 10 Шлюзе ББК;п;5;0;63.52.41;034.17.25;63.87805556;34.29027778;86645160121;0;1;поселок
д. Прилук (МР Приморский);6429;Архангельская область;Приморский муниципальный район;Прилук (МР Приморский);д;5;0;64.34.42;040.14.28;64.57833333;40.24111111;11652446286;0;1;деревня
д. Семжа;29173;Архангельская область;Мезенский муниципальный район;Семжа;д;5;0;66.08.56;044.07.00;66.14888889;44.11666667;11642101126;0;1;деревня
ст. Уросозеро;130215;Республика Карелия;Сегежский;Уросозеро;ст;5;0;63.26.18;034.14.36;63.43833333;34.24333333;86645444141;0;1;станция
д. Филява;145421;Архангельская область;Онежский муниципальный район;Филява;д;5;0;63.22.55;039.05.52;63.38194444;39.09777778;11646444296;0;1;деревня
д. Чубола-Наволок;21009;Архангельская область;Приморский муниципальный район;Чубола-Наволок;д;5;0;64.37.56;040.15.17;64.63222222;40.25472222;11652446336;0;1;деревня
д. Шеинская;73024;Архангельская область;Приморский муниципальный район;Шеинская;д;5;0;64.19.41;041.26.54;64.32805556;41.44833333;11652406271;0;1;деревня
пос. 6 км;150893;Республика Карелия;Кемский;6 км;нп;4;0;64.56.29;034.29.27;64.94138889;34.49083333;86612101111;1;0;поселок
с. Амбарчик;98624;Республика Саха (Якутия);Нижнеколымский;Амбарчик;с;4;0;69.37.34;162.18.17;69.62611111;162.3047222;98637424106;0;1;село
д. Брательское;116995;Архангельская область;Приморский муниципальный район;Брательское;д;4;0;64.35.59;040.23.22;64.59972222;40.38944444;11652446131;0;1;деревня
ст. Брусеница;98428;Архангельская область;Приморский муниципальный район;Брусеница;ж/д_ст;4;1;64.17.14;040.39.09;64.28722222;40.6525;11652436251;1;0;станция
пос. Восточный Кильдин;72200;Мурманская область;Кольский муниципальный район;Восточный Кильдин;нп;4;0;69.19.13;034.19.47;69.32027778;34.32972222;47605405116;1;0;поселок
д. Едома (МР Пинежский);48084;Архангельская область;Пинежский муниципальный район;Едома (МР Пинежский);д;4;0;63.55.47;044.32.56;63.92972222;44.54888889;11648412106;0;1;деревня
д. Зворково;133180;Архангельская область;Приморский муниципальный район;Зворково;д;4;0;64.33.49;040.22.00;64.56361111;40.36666667;11652446191;0;1;деревня
д. Киглохта;63353;Архангельская область;Пинежский муниципальный район;Киглохта;д;4;1;63.57.30;044.26.47;63.95833333;44.44638889;11648412111;0;1;деревня
пос. Малая Муксалма;155034;Архангельская область;Приморский муниципальный район;Малая Муксалма;п;4;0;65.00.45;035.59.59;65.0125;35.99972222;11652458111;0;1;поселок
д. Матигора;11531;Республика Карелия;Беломорский;Матигора;д;4;0;64.28.48;034.38.59;64.48;34.64972222;86604101131;1;0;деревня
д. Машезеро;54367;Республика Карелия;Беломорский;Машезеро;д;4;1;64.24.04;033.34.41;64.40111111;33.57805556;86604430141;0;1;деревня
д. Михеево;127225;Архангельская область;Пинежский муниципальный район;Михеево;д;4;0;64.29.13;044.10.53;64.48694444;44.18138889;11648427169;0;1;деревня
д. Мордарово;136502;Архангельская область;Приморский муниципальный район;Мордарово;д;4;0;64.22.22;040.56.45;64.37277778;40.94583333;11652406191;0;1;деревня
д. Онишово;62328;Архангельская область;Приморский муниципальный район;Онишово;д;4;0;64.36.22;040.18.11;64.60611111;40.30305556;11652446261;0;1;деревня
д. Пильегоры;155887;Архангельская область;Пинежский муниципальный район;Пильегоры;д;4;0;64.41.56;043.39.43;64.69888889;43.66194444;11648427191;1;0;деревня
ст. Раменцы;108158;Республика Карелия;Сегежский;Раменцы;ст;4;0;63.16.27;034.19.20;63.27416667;34.32222222;86645444146;0;1;станция
д. Репище;4002;Архангельская область;Пинежский муниципальный район;Репище;д;4;0;63.38.11;045.29.33;63.63638889;45.4925;11648420121;0;1;деревня
пос. Светлый;55815;Мурманская область;Кольский муниципальный район;Светлый;нп;4;0;68.33.01;028.56.08;68.55027778;28.93555556;47605154106;1;0;поселок
ст. Сиг;76872;Республика Карелия;Кемский;Сиг;ст;4;0;65.34.23;034.12.08;65.57305556;34.20222222;86612444136;0;1;станция
д. Слуда;63933;Архангельская область;Пинежский муниципальный район;Слуда;д;4;0;63.32.33;045.36.54;63.5425;45.615;11648440161;0;1;деревня
д. Усть-Заостровская;119750;Архангельская область;Приморский муниципальный район;Усть-Заостровская;д;4;0;64.30.57;040.30.50;64.51583333;40.51388889;11652408216;0;1;деревня
д. Ханты-Мужи;135335;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Ханты-Мужи;д;4;0;65.26.16;064.40.59;65.43777778;64.68305556;71926412111;0;1;деревня
д. Шеймогоры;23100;Архангельская область;Пинежский муниципальный район;Шеймогоры;д;4;1;64.17.10;044.14.59;64.28611111;44.24972222;11648425146;1;0;деревня
д. Шиднема;95759;Архангельская область;Пинежский муниципальный район;Шиднема;д;4;0;63.23.06;045.59.32;63.385;45.99222222;11648432121;0;1;деревня
пос. Шомба;42732;Республика Карелия;Кемский;Шомба;п;4;0;65.05.55;033.01.26;65.09861111;33.02388889;86612437116;0;1;поселок
д. Шуломень;84630;Архангельская область;Пинежский муниципальный район;Шуломень;д;4;0;64.43.03;043.31.53;64.7175;43.53138889;11648440171;0;1;деревня
д. Грибановская;149021;Архангельская область;Онежский муниципальный район;Грибановская;д;3;0;63.48.55;038.21.40;63.81527778;38.36111111;11646436121;0;1;деревня
ст. Жемчужная;7084;Мурманская область;Кандалакшский муниципальный район;Жемчужная;ж/д_ст;3;1;66.55.21;032.12.33;66.9225;32.20916667;47608158131;1;0;станция
д. Заозерье (МР Лешуконский);134437;Архангельская область;Лешуконский муниципальный район;Заозерье (МР Лешуконский);д;3;0;65.03.24;045.40.46;65.05666667;45.67944444;11638428111;0;1;деревня
д. Ишвары;39735;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Ишвары;д;3;0;65.03.01;064.57.23;65.05027778;64.95638889;71926403106;0;1;деревня
с. Колвица;55123;Мурманская область;Кандалакшский муниципальный район;Колвица;с;3;0;67.05.12;032.58.46;67.08666667;32.97944444;47608101111;0;1;село
д. Кушеванда;19027;Республика Карелия;Лоухский;Кушеванда;д;3;0;65.41.43;030.35.11;65.69527778;30.58638889;86621425141;0;1;деревня
д. Ларькино;82778;Архангельская область;Лешуконский муниципальный район;Ларькино;д;3;0;64.38.51;049.07.15;64.6475;49.12083333;11638404106;0;1;деревня
д. Лингостров;81178;Архангельская область;Приморский муниципальный район;Лингостров;д;3;0;64.24.02;040.54.50;64.40055556;40.91388889;11652406186;1;0;деревня
пос. Маяк Никодимский;140376;Мурманская область;Терский муниципальный район;Маяк Никодимский;нп;3;1;66.06.11;039.05.41;66.10305556;39.09472222;47620401106;1;0;поселок
д. Негино;42636;Архангельская область;Приморский муниципальный район;Негино;д;3;0;64.20.53;040.55.22;64.34805556;40.92277778;11652436176;0;1;деревня
д. Некрасово;8302;Архангельская область;Лешуконский муниципальный район;Некрасово;д;3;0;65.09.12;045.33.27;65.15333333;45.5575;11638428131;0;1;деревня
д. Оксовица;2981;Архангельская область;Пинежский муниципальный район;Оксовица;д;3;0;63.33.22;045.36.08;63.55611111;45.60222222;11648440131;0;1;деревня
д. Печгора;6741;Архангельская область;Пинежский муниципальный район;Печгора;д;3;0;64.30.23;044.05.13;64.50638889;44.08694444;11648427188;1;0;деревня
ст. Поньгома;104818;Республика Карелия;Кемский;Поньгома (станция);ст;3;0;65.14.41;034.27.46;65.24472222;34.46277778;86612444121;1;0;станция
д. Порц-Яха;104407;Ямало-Ненецкий автономный округ;Ямальский муниципальный район;Порц-Яха;д;3;0;67.28.43;070.54.28;67.47861111;70.90777778;71928701907;0;1;деревня
ст. Проливы;619;Мурманская область;Кандалакшский муниципальный район;Проливы;ж/д_ст;3;0;67.08.57;032.16.13;67.14916667;32.27027778;47608101;1;0;станция
д. Псарево;71374;Архангельская область;Приморский муниципальный район;Псарево;д;3;0;64.24.47;040.59.37;64.41305556;40.99361111;11652406216;0;1;деревня
ст. Ручьи;145909;Мурманская область;Кандалакшский муниципальный район;Ручьи (станция);ж/д_ст;3;0;67.00.23;032.11.24;67.00638889;32.19;47608101;1;0;станция
д. Слободка;104183;Архангельская область;Приморский муниципальный район;Слободка;д;3;0;64.26.23;040.45.36;64.43972222;40.76;11652436216;0;1;деревня
д. Сояла;151890;Архангельская область;Пинежский муниципальный район;Сояла;д;3;0;64.29.14;043.15.21;64.48722222;43.25583333;11648427196;0;1;деревня
д. Суднозеро;8416;Республика Карелия;Костомукшский;Суднозеро;д;3;0;64.59.23;030.13.42;64.98972222;30.22833333;86706000126;0;1;деревня
ст. Сулозеро;18874;Архангельская область;Онежский муниципальный район;Сулозеро;ж/д_ст;3;0;63.44.08;036.54.46;63.73555556;36.91277778;11646402116;1;0;станция
д. Тошпи;47019;Республика Коми;ГО Инта;Тошпи;д;3;1;66.30.22;061.20.09;66.50611111;61.33583333;87715000191;0;1;деревня
д. Ущелье;1458;Архангельская область;Лешуконский муниципальный район;Ущелье;д;3;0;64.55.34;045.38.54;64.92611111;45.64833333;11638408151;0;1;деревня
д. Чухари;103524;Архангельская область;Лешуконский муниципальный район;Чухари;д;3;0;64.50.34;047.31.06;64.84277778;47.51833333;11638406126;0;1;деревня
д. Байкалово;141224;Архангельская область;Приморский муниципальный район;Байкалово;д;2;0;64.34.46;040.15.42;64.57944444;40.26166667;11652446111;0;1;деревня
д. Беричево;32893;Архангельская область;Приморский муниципальный район;Беричево;д;2;0;64.37.39;040.15.33;64.6275;40.25916667;11652446116;0;1;деревня
д. Бор (МР Приморский);118802;Архангельская область;Приморский муниципальный район;Бор (МР Приморский);д;2;0;64.23.42;041.02.12;64.395;41.03666667;11652406126;0;1;деревня
д. Борковское;61666;Архангельская область;Приморский муниципальный район;Борковское;д;2;0;64.37.11;040.16.57;64.61972222;40.2825;11652446126;0;1;деревня
д. Вагинский Наволок;2804;Архангельская область;Приморский муниципальный район;Вагинский Наволок;д;2;0;64.34.47;040.16.12;64.57972222;40.27;11652446141;0;1;деревня
д. Верхнее Рыболово;19621;Архангельская область;Приморский муниципальный район;Верхнее Рыболово;д;2;0;64.35.09;040.21.59;64.58583333;40.36638889;11652446146;0;1;деревня
д. Воймозеро;14627;Архангельская область;Онежский муниципальный район;Воймозеро;д;2;0;63.29.43;038.57.05;63.49527778;38.95138889;11646444146;0;1;деревня
д. Грихново;116394;Архангельская область;Онежский муниципальный район;Грихново;д;2;0;63.39.44;039.00.47;63.66222222;39.01305556;11646444151;0;1;деревня
д. Долгое;25220;Архангельская область;Приморский муниципальный район;Долгое;д;2;0;64.37.39;040.18.47;64.6275;40.31305556;11652446171;1;0;деревня
д. Елец;75816;Республика Коми;ГО Воркута;Елец;д;2;0;67.02.54;064.03.35;67.04833333;64.05972222;87710000131;0;1;деревня
д. Епа;13168;Республика Коми;ГО Инта;Епа;д;2;1;66.21.24;061.48.29;66.35666667;61.80805556;87715000176;0;1;деревня
д. Зачапино;83852;Архангельская область;Приморский муниципальный район;Зачапино;д;2;0;64.23.40;041.01.23;64.39444444;41.02305556;11652406161;0;1;деревня
ст. Илес;92963;Архангельская область;Приморский муниципальный район;Илес;ж/д_ст;2;0;64.21.25;040.35.55;64.35694444;40.59861111;11652436256;1;0;станция
д. Ильягорт;36434;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Ильягорт;д;2;0;64.37.44;065.12.21;64.62888889;65.20583333;71926403;1;0;деревня
д. Карбатово;56476;Архангельская область;Онежский муниципальный район;Карбатово;д;2;0;63.36.54;038.52.36;63.615;38.87666667;11646444171;0;1;деревня
д. Карвожгорт;13079;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Карвожгорт;д;2;0;64.47.10;065.14.27;64.78611111;65.24083333;71926403;1;0;деревня
д. Корелы;116530;Архангельская область;Приморский муниципальный район;Корелы;д;2;0;64.39.33;040.38.56;64.65916667;40.64888889;11652460118;0;1;деревня
ст. Котозеро;129673;Республика Карелия;Лоухский;Котозеро;ст;2;0;66.18.30;032.54.45;66.30833333;32.9125;86621430156;0;1;станция
д. Кочмогора;108517;Архангельская область;Пинежский муниципальный район;Кочмогора;д;2;0;64.15.19;044.15.53;64.25527778;44.26472222;11648425121;1;0;деревня
д. Куропти;47391;Архангельская область;Приморский муниципальный район;Куропти;д;2;0;64.31.20;040.42.57;64.52222222;40.71583333;11652466111;0;1;деревня
д. Ладвозеро;65320;Республика Карелия;Костомукшский;Ладвозеро;д;2;0;64.49.52;029.53.20;64.83111111;29.88888889;86706000116;0;1;деревня
д. Летнее Озеро;66132;Республика Карелия;Беломорский;Летнее Озеро;д;2;0;64.29.28;033.43.18;64.49111111;33.72166667;86604430131;0;1;деревня
с. Лобуя;57222;Республика Саха (Якутия);Среднеколымский;Лобуя;с;2;0;67.29.16;154.01.55;67.48777778;154.0319444;98646101106;0;1;село
ст. Маленга;4033;Республика Карелия;Беломорский;Маленга;ст;2;0;63.37.17;033.13.57;63.62138889;33.2325;86604433121;0;1;станция
д. Мяндино;115207;Архангельская область;Приморский муниципальный район;Мяндино;д;2;0;64.35.16;040.17.37;64.58777778;40.29361111;11652446236;0;1;деревня
д. Нижа;152690;Архангельская область;Мезенский муниципальный район;Нижа;д;2;0;66.18.43;043.18.43;66.31194444;43.31194444;11642408111;0;1;деревня
д. Нижмозеро;14195;Архангельская область;Онежский муниципальный район;Нижмозеро;д;2;0;64.24.57;037.55.36;64.41583333;37.92666667;11646432116;0;1;деревня
д. Осколково;56204;Ненецкий автономный округ;Заполярный район;Осколково;д;2;0;67.57.20;053.44.24;67.95555556;53.74;11811461111;0;1;деревня
д. Пертема;11912;Архангельская область;Онежский муниципальный район;Пертема;д;2;0;63.08.40;039.11.16;63.14444444;39.18777778;11646444241;0;1;деревня
д. Погорельская;70183;Архангельская область;Приморский муниципальный район;Погорельская;д;2;0;64.37.49;040.57.43;64.63027778;40.96194444;11652460131;1;0;деревня
