Населенный пункт;id;region;municipality;settlement;type;Население, человек;children;latitude_dms;longitude_dms;lat;lon;oktmo;dadata;rosstat;typ
д. Сырья;33547;Архангельская область;Онежский муниципальный район;Сырья;д;25;6;63.38.36;039.06.46;63.64333333;39.11277778;11646444281;0;1;деревня
д. Бабанегово;72475;Архангельская область;Приморский муниципальный район;Бабанегово;д;24;6;64.25.30;040.58.49;64.425;40.98027778;11652406106;1;0;деревня
д. Занаволок;128336;Архангельская область;Пинежский муниципальный район;Занаволок;д;24;3;63.37.30;045.32.53;63.625;45.54805556;11648420111;0;1;деревня
д. Кусогора;76163;Архангельская область;Пинежский муниципальный район;Кусогора;д;24;3;64.17.38;044.20.45;64.29388889;44.34583333;11648425126;1;0;деревня
д. Любовское;69846;Архангельская область;Приморский муниципальный район;Любовское;д;24;6;64.27.39;040.36.17;64.46083333;40.60472222;11652436156;0;1;деревня
д. Чешьюга;130111;Архангельская область;Онежский муниципальный район;Чешьюга;д;24;5;63.22.29;039.06.43;63.37472222;39.11194444;11646444316;0;1;деревня
д. Ягъёль;34402;Республика Коми;ГО Инта;Ягъёль;д;24;4;66.20.20;059.43.00;66.33888889;59.71666667;87715000196;0;1;деревня
д. Андрианово;31362;Архангельская область;Приморский муниципальный район;Андрианово;д;23;5;64.34.19;040.23.05;64.57194444;40.38472222;11652446106;0;1;деревня
д. Вазенцы;138913;Архангельская область;Онежский муниципальный район;Вазенцы;д;23;3;63.30.08;039.02.35;63.50222222;39.04305556;11646444131;0;1;деревня
с. Вирма;90121;Республика Карелия;Беломорский;Вирма;с;23;0;64.20.02;035.11.17;64.33388889;35.18805556;86604433131;0;1;село
д. Зашеек;4931;Республика Карелия;Лоухский;Зашеек (деревня);д;23;0;66.15.10;031.06.30;66.25277778;31.10833333;86621425136;0;1;деревня
д. Олимпий;112693;Республика Карелия;Беломорский;Олимпий;д;23;0;64.18.19;034.25.01;64.30527778;34.41694444;86604409141;0;1;деревня
д. Опорно-опытный пункт;111780;Архангельская область;Приморский муниципальный район;Опорно-опытный пункт;д;23;8;64.28.13;040.27.32;64.47027778;40.45888889;11652408191;0;1;деревня
